nom_produit;categorie_produit;variante;SKU (identifiant unique de variante);id_variante
DPR;DPR;100;AD-982-708-895-F-6C894FB;52039657
RJF;Product P;28 / A / MTM;83-490-E49-8C8-8-3B100BC;56914686
CLH;Product B;32 / B / FtO;68-ECA-BC7-3B2-A-E73DE1B;24064862
NMA;Product F;40 / B / FtO;6C-1F1-226-1B3-2-3542B41;43823868
NMA;Product F;40 / B / FtO;6C-1F1-226-1B3-2-3542B41;43823868
OTH;Product F;40 / B / FtO;53-5CA-7CF-8F5-9-28CB78B;43823868
OTH;Product F;40 / B / FtO;53-5CA-7CF-8F5-9-28CB78B;43823868
NMA;Product F;40 / B / FtO;6C-1F1-226-1B3-2-3542B41;43823868
OTH;Product F;40 / C / FtO;8B-2C5-548-6C6-E-B5EECBC;43823868
DPR;DPR;100;AD-982-708-895-F-6C894FB;52039657
DPR;DPR;100;AD-982-708-895-F-6C894FB;52039657
DPR;DPR;100;AD-982-708-895-F-6C894FB;52039657
LQS;Product C;33 / A / FtO;C7-247-274-5DF-F-3B09882;26922227
CLH;Product B;33 / A / FtO;E0-AFF-619-205-D-6AA15A5;24064862
RJF;Product P;28 / A / MTM;83-490-E49-8C8-8-3B100BC;56914686
RJF;Product P;28 / A / MTM;83-490-E49-8C8-8-3B100BC;56914686
WHX;Product P;40 / C / FtO;44-893-E04-6EF-F-E418295;14526828
RJF;Product P;28 / A / MTM;83-490-E49-8C8-8-3B100BC;56914686
RJF;Product P;28 / A / MTM;83-490-E49-8C8-8-3B100BC;56914686
WHX;Product P;40 / B / FtO;AC-93B-065-BD2-A-5D62CD8;14526828
XEB;Product D;34 / C / FtO;E7-E9C-429-6E7-1-0D50EAC;27215940
YQX;Product H;36 / B / FtO;FE-CF2-1E3-B91-0-FC2F95D;13424927
KNB;Product H;28 / B / 29;BA-184-06C-4E3-6-1DC738F;10434338
EYV;Product H;31 / A / FtO;E5-666-054-F18-A-90F6B20;22559066
YQX;Product H;40 / B / FtO;F2-055-4C3-8C3-0-7070F1D;25826279
QID;Product H;34 / C / FtO;8A-05A-B64-148-6-D8E0DF3;96827571
NWB;Product H;38 / C / FtO;50-736-23B-C34-7-7208122;22559066
YQX;Product H;40 / B / FtO;F2-055-4C3-8C3-0-7070F1D;25826279
XEB;Product P;31 / A / FtO;AA-BDF-076-A77-3-AB997BE;86889819
AYN;Product P;32 / B / FtO;38-E1E-46B-E66-1-60B4366;48485481
WHX;Product P;32 / B / FtO;85-2EB-163-D62-5-FC50316;26246865
KNB;Product P;32 / B / FtO;C5-B40-3CE-CB1-9-672218E;30277881
WHX;Product A;34 / A / 30;5D-D14-3C4-EA7-4-CA578FA;56217729
WHX;Product A;35 / B / FtO;96-7E8-3B3-249-2-227B1EC;21067873
QMB;Product J;36 / B / FtO;A0-FCB-B01-4B2-9-BA48BD5;72085551
EXR;Product J;32 / A / FtO;4A-FF1-87C-28D-3-2E5048E;89495938
YQX;Product N;S / St / Re;C6-8C7-F21-02D-9-2192018;38761153
YQX;Product E;35 / A / FtO;32-4A5-1DB-974-8-434C5E6;38274452
QMB;Product J;35 / A / FtO;E5-EF0-2CB-4F6-A-7B6A300;72085551
QMB;Product J;38 / B / FtO;37-63F-72C-A64-1-001378F;72085551
YMR;Product W;32 / A / FtO;DF-36E-A20-C9A-3-A676544;44945143
OUT;Product W;35 / B / FtO;8E-15F-A45-3D9-B-C11996B;87226152
WHX;Product P;35 / A / FtO;B3-23B-1A3-62D-A-287B1D1;99622642
XEB;Product P;31 / A / FtO;AA-BDF-076-A77-3-AB997BE;86889819
XEB;Product P;37 / B / FtO;11-B5D-E69-22E-E-204C834;74841968
WHX;Product P;37 / B / FtO;8C-D36-B63-B76-1-0EFA567;14526828
AYN;Product P;40 / C / 32;54-68D-600-577-7-E3ACD58;73763955
RJF;Product P;34 / A / FtO;17-8DA-48B-4F1-0-CBA2010;21142089
TSH;Product D;34 / A / FtO;95-0FF-23F-550-8-B91E81C;40522014
YQX;Product H;34 / C / FtO;4E-704-D68-7D8-0-039056F;25390669
AYN;Product H;34 / B / FtO;C3-14A-F22-80C-8-9696BDE;34589037
WHX;Product D;38 / C / FtO;E1-64D-1D6-299-2-142A3C0;16999640
QID;Product H;35 / B / FtO;ED-9C8-566-B8C-1-D2A70EB;93444068
WHX;Product A;33 / B / FtO;5F-43E-65F-156-0-0AD92FE;20095790
WHX;Product A;34 / B / FtO;9D-D1B-FA1-0A5-1-B6F673C;80366662
WHX;Product A;32 / B / FtO;81-763-504-1B8-8-023BFE1;12412505
WHX;Product A;34 / A / FtO;BB-624-2EC-849-6-55C3AE9;70509397
QID;Product A;32 / A / FtO;FF-6B2-7F7-B6E-F-41B2E75;24064862
AYN;Product H;36 / B / FtO;3C-907-378-228-8-F7B4345;36288292
CLH;Product B;35 / A / 30;45-B18-EB8-37B-5-B95A5C1;68182077
JAF;Product W;32 / A / FtO;C5-972-4BF-CE5-1-1129E82;87226152
MAG;Product B;32 / A / FtO;27-F8B-F34-BAC-7-73570AA;24064862
CLH;Product B;32 / A / FtO;3B-79C-61E-483-6-C6A0358;24064862
NMA;Product E;34 / B / FtO;B3-BBE-791-63B-1-FCE0425;38274452
XEB;Product P;36 / B / FtO;C4-A2A-601-15A-5-DB7DF4B;33911093
WHX;Product P;35 / A / FtO;B3-23B-1A3-62D-A-287B1D1;99622642
WHX;Product P;35 / B / FtO;A9-770-EAB-2C5-4-E45BA7C;96971321
WHX;Product P;30 / A / FtO;DB-92F-6DF-18F-5-13B09BC;15144104
DAL;Product P;32 / A / 33;1E-F79-F0A-2ED-9-28E5D42;97316215
WHX;Product P;36 / B / FtO;91-036-77F-B0C-A-F756CA7;78895639
UQJ;Product H;32 / A / 32;C0-9DA-6C5-230-1-DA9BE8E;13245298
INU;Product D;35 / B / FtO;1E-A26-C91-6AE-D-7D38B36;19814633
QID;Product H;34 / A / FtO;D2-EB2-273-75E-7-796DF7B;49772031
YQX;Product R;L / Sl / Re;FD-DFC-058-3F7-B-C675C50;88419828
XEB;Product R;L / Sl / Re;0C-31D-50A-54B-4-E407ECD;88419828
LQS;Product C;32 / B / FtO;EA-7F1-115-7DC-4-D196AB6;26922227
ZQV;Product W;34 / B / FtO;8B-6C7-6E2-4DE-D-7036618;44945143
LQS;Product B;34 / B / FtO;F9-616-9A5-69F-8-322E3A3;24064862
LQS;Product B;38 / C / FtO;16-D94-8C3-D9E-3-0190363;24064862
LQS;Product C;32 / A / FtO;F3-B15-3B6-DB0-2-EDDB59C;26922227
ZQV;Product W;35 / A / FtO;28-3B7-646-844-C-0BEC6B4;44945143
LQS;Product C;34 / A / FtO;DE-2B7-9DF-C6C-D-0323AD4;26922227
CLH;Product B;34 / B / FtO;CD-4D4-927-4E9-4-3BFFFFB;24064862
OUT;Product W;36 / B / FtO;D1-D40-D33-3DB-4-6D1D9EB;87226152
LQS;Product C;38 / C / FtO;E2-537-0DC-1D8-9-6D01258;26922227
LQS;Product B;36 / B / FtO;87-6F0-1EF-A5F-6-0D662E5;24064862
CLH;Product B;32 / B / FtO;68-ECA-BC7-3B2-A-E73DE1B;24064862
CLH;Product B;34 / A / FtO;43-DF6-655-273-3-FD48FCB;24064862
LQS;Product B;36 / C / FtO;A8-7B3-CBD-F2E-0-BC5482F;24064862
LQS;Product B;34 / A / FtO;18-C05-B56-AC3-A-A52C128;24064862
LQS;Product C;36 / B / FtO;D7-036-7E7-B2D-F-9ABDCB2;26922227
YMR;Product W;36 / B / FtO;6A-5A7-4A9-F5A-3-B06DB39;44945143
VXH;Product A;32 / A / FtO;57-9D4-ECB-549-A-3126C9C;40522014
RJF;Product P;34 / B / FtO;32-AA7-838-2C8-E-1195FE8;98393407
RJF;Product P;32 / A / FtO;D9-FBB-83F-429-F-51CFE08;84452481
RJF;Product P;34 / A / FtO;17-8DA-48B-4F1-0-CBA2010;21142089
NSP;Product P;32 / B / FtO;18-210-3EB-6E2-B-FE4B83C;22559066
XEB;Product P;32 / B / FtO;54-50F-3B5-7D2-8-74B12CD;19852484
XEB;Product P;31 / B / FtO;F0-CAB-74F-37A-0-362E105;18064129
RJF;Product P;37 / B / FtO;5B-AD8-C54-EEA-4-A68B15D;33132884
WHX;Product P;32 / B / FtO;85-2EB-163-D62-5-FC50316;26246865
WHX;Product P;34 / A / FtO;76-BA0-289-04B-C-9EB5C4F;83605938
XEB;Product P;34 / C / FtO;0B-C04-F74-B5F-7-A3E3BB0;31417470
RJF;Product P;31 / B / FtO;70-97D-EC2-7EA-6-0BD3675;60350336
VXH;Product P;32 / B / FtO;99-C92-774-A62-A-C41F591;40522014
WHX;Product P;32 / B / FtO;85-2EB-163-D62-5-FC50316;26246865
WHX;Product P;38 / B / FtO;D3-399-7FD-56A-D-DDE2CE2;21206865
RJF;Product P;31 / B / FtO;70-97D-EC2-7EA-6-0BD3675;60350336
WHX;Product P;38 / C / FtO;1C-F31-5C5-A71-9-E27F89C;23625707
WHX;Product P;31 / B / FtO;DD-85C-817-6E1-7-63A3E31;42076473
WHX;Product P;36 / B / FtO;91-036-77F-B0C-A-F756CA7;78895639
KNB;Product P;31 / B / FtO;93-C48-C70-38B-4-4F915F2;51687323
VXH;Product P;31 / B / FtO;E8-198-24F-86D-2-9927826;40522014
WHX;Product P;31 / A / FtO;E1-B96-373-C3C-2-FD46EF7;78029228
KNB;Product P;38 / B / FtO;D7-F3B-841-58E-D-6C5DA63;39344893
WHX;Product P;33 / A / FtO;30-A45-0F8-A47-3-597F220;30466884
WHX;Product P;35 / B / FtO;A9-770-EAB-2C5-4-E45BA7C;96971321
WHX;Product P;33 / B / FtO;ED-DCD-031-785-F-999C2B1;37478410
WHX;Product P;35 / A / FtO;B3-23B-1A3-62D-A-287B1D1;99622642
WHX;Product P;30 / A / FtO;DB-92F-6DF-18F-5-13B09BC;15144104
WHX;Product P;34 / B / FtO;4A-30E-267-CB3-1-506E7F7;35638092
XEB;Product P;35 / B / FtO;C3-FE5-406-65A-5-ABC9524;39740759
RJF;Product P;32 / B / FtO;EC-220-A2D-85C-E-DA2A2C6;90060431
RJF;Product P;34 / B / FtO;32-AA7-838-2C8-E-1195FE8;98393407
WHX;Product P;34 / A / FtO;76-BA0-289-04B-C-9EB5C4F;83605938
RJF;Product P;32 / B / FtO;EC-220-A2D-85C-E-DA2A2C6;90060431
WHX;Product P;36 / C / FtO;ED-3C3-9DE-8F8-8-E2127BD;10812154
WHX;Product P;34 / A / FtO;76-BA0-289-04B-C-9EB5C4F;83605938
WHX;Product P;32 / B / FtO;85-2EB-163-D62-5-FC50316;26246865
RJF;Product P;32 / A / FtO;D9-FBB-83F-429-F-51CFE08;84452481
WHX;Product P;38 / B / FtO;D3-399-7FD-56A-D-DDE2CE2;21206865
WHX;Product P;38 / C / FtO;1C-F31-5C5-A71-9-E27F89C;23625707
WHX;Product P;40 / C / FtO;44-893-E04-6EF-F-E418295;14526828
WHX;Product P;34 / B / FtO;4A-30E-267-CB3-1-506E7F7;35638092
KNB;Product P;38 / C / FtO;C7-378-EC3-9CB-5-6EBB5D5;75909019
WHX;Product P;30 / A / FtO;DB-92F-6DF-18F-5-13B09BC;15144104
RJF;Product P;30 / B / FtO;B5-DBD-C31-911-6-D028B65;71426014
WHX;Product P;33 / B / FtO;ED-DCD-031-785-F-999C2B1;37478410
WHX;Product P;34 / B / FtO;4A-30E-267-CB3-1-506E7F7;35638092
WHX;Product P;34 / B / FtO;4A-30E-267-CB3-1-506E7F7;35638092
WHX;Product P;34 / A / FtO;76-BA0-289-04B-C-9EB5C4F;83605938
WHX;Product D;32 / B / FtO;18-E7C-DCC-C2D-D-B9DBE7F;99422590
KNB;Product H;36 / B / FtO;65-74E-443-294-2-17CE026;72442713
WHX;Product D;31 / B / FtO;8E-FDD-442-DFC-8-F0DF366;58756842
AYN;Product H;34 / B / FtO;C3-14A-F22-80C-8-9696BDE;34589037
YQX;Product H;31 / A / FtO;7E-DD5-BAD-F3F-E-AA11AE6;29167199
YQX;Product H;37 / B / FtO;78-051-9A8-28F-5-DEB9BDB;1.56096E+13
WHX;Product D;32 / B / FtO;18-E7C-DCC-C2D-D-B9DBE7F;99422590
WHX;Product D;32 / A / FtO;1C-89C-388-1D0-D-726D144;36502945
XEB;Product D;36 / B / FtO;BA-725-339-E8D-C-E7F0C05;46918604
WHX;Product D;36 / C / FtO;7D-836-023-118-2-E0F3561;43653050
YQX;Product H;36 / C / FtO;6B-71B-F7E-160-F-8B91FE7;70965422
XEB;Product D;36 / B / FtO;BA-725-339-E8D-C-E7F0C05;46918604
YQX;Product H;32 / A / FtO;24-2BA-B62-B5C-D-C72CC19;44830178
XEB;Product D;32 / A / FtO;3E-B29-9F0-AA8-1-D897DF1;26347754
WHX;Product D;34 / B / FtO;78-AC0-420-2A7-C-2F18981;79976637
WHX;Product D;36 / B / FtO;8B-AF6-E40-DDB-1-CF967D6;34467942
UQJ;Product H;34 / B / FtO;1E-7C4-C2B-0FF-4-E21514E;87226152
QID;Product H;34 / B / FtO;C9-414-FFC-143-B-93F2FD7;58925511
OVT;Product N;M / Sl / Sh;26-418-07B-70A-5-8411F0A;56268382
KDP;Product N;M / Sl / Sh;27-136-CC2-6FF-7-EFA066E;88176838
AYN;Product P;31 / A / 34;03-C8D-42C-ACD-3-3BD9B5C;31465047
WHX;Product A;38 / C / FtO;28-1F9-816-C17-5-91FC861;49907974
WHX;Product A;36 / A / FtO;F9-AC7-42B-A11-B-24E0431;80244183
WHX;Product A;36 / B / FtO;FF-21F-BB2-6D1-F-B55CB55;36708084
VXH;Product A;34 / B / 33;FC-549-B5B-C66-D-994E8E8;59952954
WHX;Product A;36 / B / FtO;FF-21F-BB2-6D1-F-B55CB55;36708084
WHX;Product A;34 / B / FtO;9D-D1B-FA1-0A5-1-B6F673C;80366662
WHX;Product A;37 / C / 33;A8-A92-A5E-131-2-1D5E2D7;92994496
WHX;Product A;34 / B / FtO;9D-D1B-FA1-0A5-1-B6F673C;80366662
WHX;Product A;34 / B / FtO;9D-D1B-FA1-0A5-1-B6F673C;80366662
QID;Product A;36 / C / FtO;0E-D2B-73D-37E-F-DBF3D8F;24064862
WHX;Product A;35 / C / FtO;16-F03-95F-008-2-F56510C;94592586
WHX;Product A;30 / A / FtO;7F-81E-8C5-267-C-23675DE;16264779
WHX;Product A;32 / A / FtO;1F-688-D33-147-7-145B5FA;62880921
WHX;Product A;32 / B / FtO;81-763-504-1B8-8-023BFE1;12412505
QID;Product A;35 / B / FtO;9C-552-AC3-DB8-9-9F5C6C7;24064862
QID;Product A;31 / B / FtO;82-3E6-44F-97A-2-A517006;24064862
WHX;Product A;36 / C / FtO;98-D3B-B5B-DE3-E-45946A7;17050446
